Museum ID,Category,Group,Prop_Red,Sex,Latitude,Longitude,Incisor_L,Incisor_W,Zincisor,Log_Incisor_BF,Incisor_BiteForce,Mass,LogMass,NasoFrontalRatio,PremaxillaRatio,MaxilloFrontalRatio,CoronalRatio,SaggitalRatio,BFQ
UWBM 81556,Red,Red Squirrel (Hybrid Zone),,M,48.52723,-120.66263,3.318,1.124,2.062375896,1.609932189,40.73166737,221,2.344392274,,,,,,102.4650137
UWBM 81557,Hybrid,Hybrid,0.72,F,48.52724,-120.66274,3.168,1.107,1.851683328,1.583442761,38.32152306,228,2.357934847,2.466028796,2.81480831,1.121361895,,1.340767861,95.25189813
UWBM 81558,Red,Red Squirrel (Hybrid Zone),,M,48.52725,-120.66285,3.264,1.164,2.066817024,1.610460949,40.78128903,253.6,2.404149249,1.913872801,,,3.055047254,,97.2979977
UWBM 81892,Red,Red Squirrel (Parental Range),1,M,48.4355,-119.89123,3.424,1.345,2.628079787,1.669515417,46.72135365,283,2.451786436,2.502182212,3.136361869,1.172783209,3.941551272,1.616571466,106.8618819
UWBM 81894,Red,Red Squirrel (Parental Range),1,F,48.4355,-119.891256,3.441,1.407,2.776592795,1.683027901,48.19787609,249,2.396199347,3.354562488,3.929735251,1.78432968,2.377496433,2.320110459,115.8059229
UWBM 81899,Red,Red Squirrel (Parental Range),1,F,48.4356,-119.89157,3.604,1.315,2.846715507,1.689158742,48.88310027,251.9,2.401228167,3.993133858,3.022734584,1.345396584,3.936286876,2.130599373,116.930019
UWBM 81910,Hybrid,Hybrid,0.83,M,48.618,-120.984,3.44,1.365,2.692144,1.67543563,47.36261033,251.6,2.400710637,2.940346725,2.806351918,1.420543399,3.958457723,1.476605672,113.3449319
UWBM 82023,Red,Red Squirrel (Parental Range),1,F,48.38552161,-119.8907463,3.229,1.191,2.069648539,1.610797476,40.81290199,194.7,2.289365952,2.750805088,2.919437553,1.754689493,3.361077995,2.189424671,107.800437
UWBM 82165,Red,Red Squirrel (Hybrid Zone),,M,48.6029,-120.7973,3.3,1.187,2.154405,1.620663279,41.75065364,220.2,2.342817315,,,,,,105.1750906
UWBM 82166,Doug,Douglas Squirrel (Hybrid Zone),,F,48.70839,-120.979544,2.824,0.923,1.226817141,1.482249387,30.35633849,180.3,2.255995727,,,,,,82.58793963
